"Reference","Qty","Value","MPN","LCSC"
"A1","1","RaspberryPi_Pico","","C41407547"
"C1,C3,C6,C8,C10,C12,C13,C14,C15,C17","10","10u","",""
"C2","1","22u","",""
"C4,C7,C9,C11,C18,C19,C20","7","100n","",""
"C21,C22,C27","3","1u","",""
"C23,C24,C25,C26","4","220p","",""
"FB1,FB6,FB7,FB8,FB9,FB10","6","BLM18PG221SN1","BLM18PG221SN1","C80165"
"J1","1","Barrel_Jack_MountingPin","",""
"J2","1","Conn_01x03_Pin","",""
"J3,J7","2","Conn_01x02","",""
"J4","1","Conn_Coaxial","","C496550"
"J8,J9","2","AudioJack3_SwitchT","SJ-3524-SMT-TR","C20182907"
"Q1","1","DMG2305UX","","C150470"
"R1","1","100k","",""
"R2,R3,R4","3","4.7k","",""
"R7","1","22k","",""
"SW1","1","RotaryEncoder_Switch_MP","EC11E18244A5","C255515"
"U1","1","LD1117S50TR_SOT223","","C347230"
"U2","1","Ai-Thinker-Ra-01","","C503593"
"U3","1","PCM3060","PCM3060PWR","C2651841"
"U4","1","SSD1306","",""
"U6","1","PAM8406D","PAM8406DR","C86270"
"Y1","1","SG-210STF","X1G0041710019","C255992"
